en,vi,length,translate,bleu_score,meteor
And what I think the world needs now is more connections.,Và tôi nghĩ điều thế giới đang cần bây giờ là nhiều sự kết nối hơn.,11,Và điều tôi nghĩ thế giới cần là nhiều kết nối.,6.842231679595393e-155,0.5345161290322581
"The group is named after Bangkok, the capital city of Thailand, where its theatre, BNK48 the Campus, is located.","Nhóm được đặt theo tên của Bangkok, thủ đô của Thái Lan, BNK48 the Campus, là nơi đặt nhà hát của nhóm.",19,"Nhóm được đặt tên theo Bangkok, thủ đô của Thái Lan, nơi nhà hát BNK",0.29841495844879473,0.569967423589154
It is surrounded by rivers (Simpson and Coyhaique) and by mountains.,Nó được bao quanh bởi các con sông (Simpson và Coyhaique) và theo các ngọn núi.,11,Nó được bao quanh bởi sông (Simpson và Coyhaique) và núi.,0.4561268106759323,0.7024793388429752
"Four years, and you never talked to her.","Bốn năm, và cậu chưa nói gì với cô ấy.",8,"Bốn năm, và anh chưa bao giờ nói chuyện với cô ấy.",5.731095145962094e-78,0.7352941176470589
The man that's giving the test has serious doubts that they'll get an accurate result.,Người cung cấp bài kiểm tra đó đang nghi ngờ về tính xác thực của kết quả.,15,Người đưa ra bài kiểm tra này có những nghi ngờ nghiêm trọng rằng họ sẽ có được kết,2.99414049262426e-78,0.3690080683436165
Mmm. The constitutional lawyer?,Luật sư chuyên về luật Hiến pháp?,4,Anh luật sư hiến pháp?,1.0748016968157982e-231,0.4641544117647058
"Even with Dellacqua's retirement in early 2018, Barty has also continued to improve at doubles, having since won the five biggest doubles titles of her career, including her first Grand Slam title at the 2018 US Open.","Ngay cả khi Dellacqua nghỉ chơi quần vợt vào đầu năm 2018, Barty cũng tiếp tục cải thiện sự nghiệp đánh đôi, kể từ khi giành được năm danh hiệu đôi lớn nhất trong sự nghiệp, bao gồm cả danh hiệu Grand Slam đầu tiên của cô tại US Open 2018.",37,"Mặc dù Dellacqua nghỉ hưu vào đầu năm 2018, Barty tiếp tục",0.015757055917298406,0.16277423920736023
This is two to five dollars. You have a bed.,"Đây là 2-5 đô-la, bạn có một chiếc giường.",10,"Đây là 2 đến 5 đô la, có giường.",7.241926111174567e-155,0.3506944444444444
Oklahomans leaving for California in large numbers for a better future.,"Trong cuốn đó, người Oklahoma rời California với số lượng đông đảo để có một tương lai tốt đẹp hơn.",11,Oklahomans rời California với số lượng lớn để có một tương lai tốt đẹp hơn.,0.5188816903897316,0.6654528903049614
Let's go cut the cake.,Đi cắt bánh thôi.,5,Hãy cắt bánh đi.,9.53091075863908e-155,0.46875
