en,vi,length,translate,bleu_score,meteor
And what I think the world needs now is more connections.,Và tôi nghĩ điều thế giới đang cần bây giờ là nhiều sự kết nối hơn.,11,Và điều tôi nghĩ là thế giới cần còn là liên kết nhiều hơn.,7.624615893931583e-155,0.5055445130243749
"The group is named after Bangkok, the capital city of Thailand, where its theatre, BNK48 the Campus, is located.","Nhóm được đặt theo tên của Bangkok, thủ đô của Thái Lan, BNK48 the Campus, là nơi đặt nhà hát của nhóm.",19,"Nhóm được đặt tên theo thành phố Tự Do, thủ đô Thái Lan, nơi nhà hát, BKKor, nằm ở thành phố này.",3.2083466360234637e-78,0.403831705484598
It is surrounded by rivers (Simpson and Coyhaique) and by mountains.,Nó được bao quanh bởi các con sông (Simpson và Coyhaique) và theo các ngọn núi.,11,Đô thị này bao gồm các sông (Smys) và Cohaha và bởi núi.,1.2390110852695113e-231,0.22292993630573246
"Four years, and you never talked to her.","Bốn năm, và cậu chưa nói gì với cô ấy.",8,"Bốn năm, và cậu chưa bao giờ nói chuyện với cô ấy.",0.4366835442847812,0.866013071895425
The man that's giving the test has serious doubts that they'll get an accurate result.,Người cung cấp bài kiểm tra đó đang nghi ngờ về tính xác thực của kết quả.,15,Người ta đưa thử nghiệm nghiêm túc họ sẽ có kết quả chính xác.,9.040047455305228e-232,0.05988023952095809
Mmm. The constitutional lawyer?,Luật sư chuyên về luật Hiến pháp?,4,Luật pháp luật.,1.4458721531827603e-206,0.07575757575757576
"Even with Dellacqua's retirement in early 2018, Barty has also continued to improve at doubles, having since won the five biggest doubles titles of her career, including her first Grand Slam title at the 2018 US Open.","Ngay cả khi Dellacqua nghỉ chơi quần vợt vào đầu năm 2018, Barty cũng tiếp tục cải thiện sự nghiệp đánh đôi, kể từ khi giành được năm danh hiệu đôi lớn nhất trong sự nghiệp, bao gồm cả danh hiệu Grand Slam đầu tiên của cô tại US Open 2018.",37,"Ngay cả khi cuộc đua ca nhiễm của Decidian bắt đầu vào đầu năm 2018, ước tính tiếp tục tiếp tục cải thiện với hai lần kể",0.09335613762514967,0.21820147812211302
This is two to five dollars. You have a bed.,"Đây là 2-5 đô-la, bạn có một chiếc giường.",10,Đây là 2 đô la Mỹ.,4.597292750167502e-155,0.21551724137931036
Oklahomans leaving for California in large numbers for a better future.,"Trong cuốn đó, người Oklahoma rời California với số lượng đông đảo để có một tương lai tốt đẹp hơn.",11,Những người rời khỏi California trong một số lượng lớn tốt cho một tương lai tốt.,2.847859825406876e-78,0.42270408163265305
Let's go cut the cake.,Đi cắt bánh thôi.,5,Hãy bỏ cái bánh xe đi.,1.1640469867513693e-231,0.11904761904761905
"Breyer is a member of the Council on Foreign Relations, Pacific Community Ventures, and TechNet.","Breyer là thành viên của Hội đồng Quan hệ Đối ngoại, Pacific Community Ventures, và TechNet.",15,"Bym là một thành viên của Hội đồng trên mạng Thái Bình Dương, các cộng đồng của Thái Bình đẳng và quân phục vụ.",0.16020720994064927,0.28547133138969877
"Because if you can't remember where that silo was, you're worthless to us.","Vì nếu mày ko nhớ nổi vị trí mấy cái silo Thì đối với bọn tao, mày vô dụng.",13,"Bởi vì nếu bạn không nhớ là nơi mà anh đã ở đó, anh sẽ giả vờ như chúng ta.",1.0244914152188952e-231,0.1337987201861547
Court upholds prison sentence against former HCMC official in murky land handover,Tòa giữ nguyên án tù đối với cựu quan chức TP HCM trong vụ chuyển nhượng đất mờ ám,12,Tòa án tù nhân chống lại các cựu giám sát HCMCM trong tay đua vũ khí.,4.698202060539477e-155,0.19893048128342247
Only relevant if it can cause pulmonary edema and delirium.,Nó chỉ có liên quan nếu nó gây ra phù phổi và chứng cuồng sảng.,10,Chỉ có một điều kiện có lợi nếu nó có thể gây ra những động ích kỷ và rượu.,6.455962524053653e-155,0.3717201166180758
"Precipitation occurs mostly in the austral summer, originating from deep-cell convective activity over the Amazon basin and southerly extension of ITCZ (Intertropical Convergence Zone).","Lượng mưa chủ yếu vào mùa hè phương nam, có nguồn gốc từ hoạt động đối lưu trên bồn địa Amazon và sự mở rộng về phía nam của ITCZ (Đới hội tụ liên nhiệt đới).",24,"Các hoạt động này chủ yếu xảy ra trong một thời kỳ khai thác nhiệt đới, có nguồn gốc từ các hoạt động sâu xa hơn qua sông dài và",0.0909140158005182,0.2648305084745763
The story of the raid was documented by the 1955 film called The Dam Busters.,Câu chuyện về các cuộc tấn công đã được mô tả lại trong bộ phim The Dam Busters vào năm 1955.,15,Câu chuyện về việc tổ chức được báo chí của bộ phim năm 1955 đã được đặt tên là The Rold.,3.1652718119850744e-78,0.39182833627278074
"In 2008, the system was brought up to a new level and the resulting language termed ""Pascaline"" (after Pascal's calculator).","Trong năm 2008, hệ thống đã được đưa lên một cấp độ mới và ngôn ngữ kết quả được gọi là ""Pascaline"" (sau khi máy tính của Pascal).",20,"Năm 2008, hệ thống được đưa ra cho một cấp độ mới và ngôn ngữ lập trình ""Pades"" (Pi).",0.2544143232550411,0.47271774492892854
"The pope lamented to John Magee, ""Even the young are killing each other.""","Đức giáo hoàng than thở với John Magee, ""Ngay cả những đứa trẻ cũng đang giết nhau.""",13,"Giáo sư cho John ""Người mới được giết chết lẫn nhau.""",7.63049244569146e-232,0.12195121951219512
Why didn't she escape?,Sao cô ta lại không trốn?,4,Sao cô ta không trốn thoát?,6.206021746903507e-78,0.625
"""Not Like the Movies"", was released digitally on August 3, 2010, and debuted at number 53 on the Billboard Hot 100.","""Not Like the Movies"" được phát hành dưới dạng kĩ thuật số ngày 3 tháng 8 năm 2010, và mở đầu tại vị trí thứ 53 tại Billboard Hot 100.",21,"""The Souls"" mang lại những bản phát triển dựa trên công trình vào ngày 3 tháng 8 năm 2010, và được phát hành tại vị trí thứ",0.3111846348445364,0.4658833230261802
In 88 the Fourth participated to the retaliation invasion of Dacia (see Domitian's Dacian War).,"Trong năm 88, quân đoàn thứ tư đã tham gia cuộc xâm lược trả đũa nhằm vào Dacia (xem chiến tranh Dacia lần thứ hai của Domitianus).",15,"Năm 981, người ta đã tham gia cuộc xâm lược đảo ngược của Dacia (nay là Dacci'sccccc",0.16813027268955708,0.3309591642924976
What kind of game is he playing?,Lại là trò gì của hắn nữa đây?,7,Thế trò chơi nào anh ta chơi?,9.709385502639237e-232,0.06329113924050632
Mahalo (6) February 2014 issue] (in Japanese).,Mahalo (6) February 2014 issue] (bằng tiếng Japanese).,7,Mahlyse tháng 2 năm 2014: 1 số đơn vị (inin Nhật Bản).,0.0,0.0
The point where the warm front and the occluded front meet (and consequently the nearest location of warm air to the center of the cyclone) is called the triple point.,"Điểm mà tại đó các frông nóng, lạnh và frông hấp lưu gặp nhau (và do đó, vị trí gần nhất của khối khí nóng tới tâm của xoáy tụ) được gọi là điểm hấp lưu hay điểm ba trạng thái.",30,Điểm cực kỳ cao trước và cột trụ phía trước (và cuối cùng làn sóng của không khí nóng) được gọi là ba chiều cao của không khí,1.371144093422485e-78,0.18740554156171285
We start our journey in the central deserts.,Ta sẽ bắt đầu từ sa mạc trung tâm.,8,Chúng ta bắt đầu đi hành trình ở trung tâm sa mạc.,6.223629500679345e-155,0.4000000000000001
"And then he looks at me and looks at Donald, and he goes, about one in 1,000.","Ông ấy nhìn tôi rồi nhìn Donald, và ông nói, khoảng 1 trong 1000",17,"Và rồi anh ta nhìn tôi và nhìn vào tòa nhà, và anh ta đi về, một trong khoảng 1.",5.495419197520407e-155,0.32848755940732455
"I was just telling these guys about this job that I did in Paris for a couple of months, and this guy, he let me smoke some of this stuff.",Vừa nãy tôi còn ngồi ở đây nói với những người này. Tôi làm việc ở Paris được vài tháng. Sau đó anh ta cho tôi hít thử vài hơi hàng của anh ta.,30,"Tôi vừa mới nói với những người việc này về việc mà tôi đã làm ở Paris trong vài tháng, và anh ta, anh ta cho tôi một vài",0.17014045614287523,0.4577114427860697
Why don't you tell them the truth.,Sao bà không nói sự thật.,7,Sao anh không nói cho họ sự thật.,9.696727898117387e-155,0.7193548387096775
Rise of the Tomb Raider is an action-adventure video game developed by Crystal Dynamics.,Rise of the Tomb Raider là một trò chơi video phiêu lưu hành động được phát triển bởi Crystal Dynamics.,14,Một cặp của người chơi game Toer là một trò chơi điện tử chiến đấu do nạn nhân loại.,0.12023930397322175,0.19943467336683418
"Nearby localities include Kafr Yahmul and Maarrat al-Ikhwan to the south, Zardana to the southwest, Kafr Halab to the west, Atarib to the northwest, Sarmada to the north, Killi to the northeast, Kaftin to the east and Haranabush to the southeast.","Các địa phương lân cận bao gồm Kafr Yahmul và Maarrat al-Ikhwan ở phía nam, Zardana ở phía tây nam, Kafr Halab ở phía tây, Atarib ở phía tây bắc, Sarmada ở phía bắc, Killi ở phía đông bắc, Kaftin ở phía đông và Haranabush ở phía đông nam.",41,"Các địa phương lân cận bao gồm Kamarambo và Mata al-Iz ở phía nam, Züana ở phía tây nam, Z",0.11449400027971035,0.3088455049409496
"No, no, no. Don't show me specifics.","Không, không, đừng cho tôi xem chi tiết.",7,"Không, không, đừng có thể cho tôi thấy tôi cụ thể.",4.284993070788676e-78,0.5373493975903614
"Yeah, it's my pleasure.","Phải, đó là niềm vui của tôi.",4,"Vâng, đó là sự riêng tư của anh.",7.176381577237209e-155,0.3599374021909233
"And of course, as I mentioned before, since we can now start to map brain function, we can start to tie these into the individual cells.","Và dĩ nhiên, như tôi đã nói. vì từ nay chúng ta có thể lập bản đồ chức năng của não bộ, chúng ta có thể bắt đầu kết nối chúng với từng tế bào.",26,"Và như, như tôi đã đề cập trước đó, vì chúng tôi có thể bắt đầu tự đặt ra các chức năng não, chúng tôi có thể bắt",0.12392109146894763,0.35108519598315513
"Or we don't know if that fabric is a technological or manufacturing nutrient; it can be reused or does it just end up at landfill? In other words, we're oblivious to the ecological and public health and social and economic justice consequences of the things we buy and use.","Hoặc ta không biết liệu lớp vải đó được tạo từ công nghệ hay sản xuất tự nhiên; nó có thể tái sử dụng hay cuối cùng chỉ thành rác? Nói cách khác, ta chẳng biết gì về mặt sinh học hay sức khỏe cộng đồng hay hậu quả kinh tế và xã hội của những thứ mình mua và sử dụng.",49,Hoặc chúng ta không biết rằng làm việc hay làm công nghệ công nghệ có thể tái chế hoặc chỉ dùng nó để làm việc hay tái tạo ở các vùng,1.2060169128014211e-78,0.16284952011364817
The Foundation and Advanced exams consist of a multiple choice tests.,Các bài thi ở mức độ cơ bản (Foundation exam) và mức độ nâng cao (Advanced exam) là các bài test gồm các câu hỏi có nhiều đáp án (multiple-choice test).,11,Tổ chức học và siêu thị bao gồm nhiều thử nghiệm.,2.137047302738868e-232,0.051724137931034475
Education is something which is central to most people's lives.,Giáo dục như là một thứ trung tâm cho hầu hết đời sống của mọi người .,10,Giáo dục là điều mà trung tâm cho hầu hết các người dân đang sống.,0.2636932645412712,0.512198706643151
A frequent claim is that the Galway is our only native breed but there were many other types before the famine and many people think that mountain sheep should be recognised.,Một tuyên bố thường xuyên là Galway là giống bản địa duy nhất của chúng tôi nhưng có nhiều loại khác trước nạn đói và nhiều người nghĩ rằng cừu núi nên được công nhận.,31,"Một cuộc nổi dậy hiếm khi là đường hầm duy nhất của chúng ta là giống người bản địa, nhưng có nhiều loại khác trước khi nạn đói và nhiều",0.294221992729488,0.5611594202898551
"Well, at 3, One, 3 start!",- Đếm đến ba. 1... 3... bắt đầu.,6,"À, lúc 3 giờ sáng, bắt đầu.",6.040533861202418e-155,0.2373417721518987
I can tell you exactly what it is.,Tôi có thể nói chính xác nó là gì.,8,Tôi có thể nói với bạn chính xác điều gì.,0.32466791547509893,0.738954922628392
That vest is how I make it right.,Cái áo vest đó sẽ minh chứng em đã làm đúng.,8,Chỉ cần đó là cách tôi tạo ra đúng.,1.0016022933125248e-231,0.09259259259259259
Through diary know he has a deep hatred for his wife.,Qua nhật ký biết được anh ta có oán thù sâu đậm với vợ.,11,Thông qua những thứ mà hắn có một kẻ xấu trong việc chăm sóc vợ.,1.1008876702055895e-231,0.10638297872340424
Which is why it's not your life she's threatening.,Thế nên đó là tại sao cô ta không chỉ đe dọa mạng sống của cậu,9,Đó là lý do tại sao không phải là sự sống của cô ấy.,6.80995604541296e-155,0.39952531645569617
